mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.28233536084493,0.010934387662632782,0.003125270207722982,0.0005614111875129704,10,0.9204285838459496,3,9,80,"{'max_depth': 10, 'max_features': np.float64(0.9204285838459496), 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 80}",0.8875,0.915625,0.8875,0.896875,0.013258252147247797,6,0.9640625,0.953125,0.9640625,0.9604166666666667,0.00515598694615193
0.3022144635518392,0.022216176780632042,0.00454099973042806,0.000557299925316573,6,0.4435967122017216,3,9,176,"{'max_depth': 6, 'max_features': np.float64(0.4435967122017216), 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 176}",0.9,0.91875,0.90625,0.9083333333333333,0.007795119555779017,3,0.9609375,0.95,0.9671875,0.959375,0.007103219633846811
0.18703238169352213,0.008297746972246257,0.0033759276072184243,0.0004234704748035639,10,0.4357200907531644,3,7,112,"{'max_depth': 10, 'max_features': np.float64(0.4357200907531644), 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 112}",0.903125,0.921875,0.925,0.9166666666666666,0.009660019266141393,1,0.9765625,0.9671875,0.975,0.9729166666666668,0.004101045767714491
0.6193882624308268,0.0909426004230167,0.0063936710357666016,0.0010273755814231209,6,0.7831992633600948,2,6,220,"{'max_depth': 6, 'max_features': np.float64(0.7831992633600948), 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 220}",0.9,0.91875,0.8875,0.9020833333333332,0.01284252917285203,4,0.965625,0.953125,0.9640625,0.9609375,0.005560978256266304
0.3439322312672933,0.04386140202677325,0.003432194391886393,0.00067320381948949,10,0.7169918962929684,5,10,108,"{'max_depth': 10, 'max_features': np.float64(0.7169918962929684), 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 108}",0.89375,0.909375,0.9,0.9010416666666666,0.006421264586426018,5,0.965625,0.9515625,0.959375,0.9588541666666667,0.00575279219645169
0.5260361035664877,0.015834326978825468,0.00489656130472819,0.0003028661989768026,8,0.7171117368334277,2,4,167,"{'max_depth': 8, 'max_features': np.float64(0.7171117368334277), 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 167}",0.90625,0.921875,0.903125,0.9104166666666668,0.008202091535428982,2,0.984375,0.9734375,0.9765625,0.978125,0.004599875451212435
